sample_ID	expr	species	cell_type
humanH1830001	0	Human	Astro1
humanH1830002	0.916477454005354	Human	Astro1
humanH1930001	0	Human	Astro1
humanH1930002	0	Human	Astro1
chimpC1932001	3.10613466167512	Chimp	Astro1
chimpC1932002	1.01272863585743	Chimp	Astro1
chimpC1932003	0.769174719385177	Chimp	Astro1
chimpC1932004	1.3311591714937	Chimp	Astro1
chimpC1932005	0.786322560245166	Chimp	Astro1
chimpC1932006	1.6977004109791	Chimp	Astro1
chimpC1932007	0	Chimp	Astro1
gorillaG1932001	0	Gorilla	Astro1
gorillaG1932002	0.829535180631525	Gorilla	Astro1
gorillaG2032001	0	Gorilla	Astro1
gorillaG2032002	0	Gorilla	Astro1
rhesusQ1926010	0	Rhesus	Astro1
rhesusQ1926011	0	Rhesus	Astro1
rhesusQ1926015	1.00211214790821	Rhesus	Astro1
marmosetbi005	1.22079154558419	Marmoset	Astro1
marmosetbi006	1.81489250424823	Marmoset	Astro1
marmosetbi007	3.95560301135611	Marmoset	Astro1
humanH18300011	0	Human	Chandelier1
humanH18300021	0.749356778074814	Human	Chandelier1
humanH19300011	0	Human	Chandelier1
humanH19300021	0	Human	Chandelier1
humanH2001023	0	Human	Chandelier1
chimpC19320011	2.12255156757871	Chimp	Chandelier1
chimpC19320021	0.97850031726615	Chimp	Chandelier1
chimpC19320031	0.639982463237211	Chimp	Chandelier1
chimpC19320041	0.980000018162243	Chimp	Chandelier1
chimpC19320051	0	Chimp	Chandelier1
chimpC19320061	1.0957018634146	Chimp	Chandelier1
chimpC19320071	0	Chimp	Chandelier1
gorillaG19320011	0	Gorilla	Chandelier1
gorillaG19320021	0	Gorilla	Chandelier1
gorillaG20320011	0	Gorilla	Chandelier1
gorillaG20320021	0.776617624406435	Gorilla	Chandelier1
rhesusQ19260101	0	Rhesus	Chandelier1
rhesusQ19260111	0.963595372207089	Rhesus	Chandelier1
rhesusQ19260151	0	Rhesus	Chandelier1
marmosetbi0051	0	Marmoset	Chandelier1
marmosetbi0061	3.38275177060771	Marmoset	Chandelier1
marmosetbi0071	2.85074774738492	Marmoset	Chandelier1
humanH18300012	2.54809234508501	Human	Endo1
humanH18300022	10.2583126201811	Human	Endo1
humanH19300012	2.78864804005231	Human	Endo1
