cell_type	regdom_prop	num_HAQERs	num_genes_near_HAQERs	prop_HAQERs	pval_genes_near_HAQERs	pval_HAQERs	padj_genes_near_HAQERs	padj_HAQERs
Astro1	0.00828101316199262	17	16	0.10958904109589	0.000260867225870666	0.170322156336517	0.014869431874628	1
Chandelier1	0.028036866082829	51	38	0.0526315789473684	0.0359823522614424	0.172589068677677	1	1
Endo1	0.00336829577263713	6	6	0.101694915254237	0.0464920322106638	0.441015441416429	1	1
L23IT1	0.01527071925688	28	24	0.043956043956044	0.283444736084477	0.240045161928465	1	1
L23IT2	0.0234560416828588	44	35	0.0572831423895254	0.0149670899018369	0.14369370460812	0.553782326367965	1
L23IT3	0.0217639202674942	32	31	0.0467571644042232	0.174619830297927	0.684571356505912	1	1
L4IT1	0.0200486340432891	44	39	0.0664395229982964	0.000823212398435769	0.0210292752396969	0.0436302571170958	1
L4IT2	0.0208985294077447	40	34	0.0597539543057996	0.0120638099056743	0.129359916777555	0.470488586321298	1
L56NP1	0.0259596719978316	46	43	0.061516452074392	0.00241369234452521	0.236456141855198	0.12068461722626	1
L56NP2	0.0357364311631803	57	50	0.048828125	0.0636809628324472	0.491580280526143	1	1
L5ET1	0.0159472727657277	21	18	0.0428571428571429	0.38552223263475	0.827394405915208	1	1
L5ET2	0.0227679701490259	41	38	0.0579268292682927	0.0107010274133869	0.220350993940327	0.428041096535476	1
L5IT1	0.0263572673743376	55	46	0.0636237897648686	0.000777453206778111	0.0256878144755927	0.041982473166018	1
L5IT2	0.0239973074761155	47	38	0.0536723163841808	0.0297860216946582	0.0830746241514252	0.982938715923721	1
L6CT1	0.0274872633794191	47	45	0.0529411764705882	0.025610456676141	0.31317569585391	0.870755526988794	1
L6CT2	0.0152824422079543	19	18	0.0376569037656904	0.63351994013105	0.880104839182792	1	1
L6IT1	0.0240783595980486	47	41	0.0523627075351213	0.0323203647801915	0.0864589754694612	1	1
L6ITCar31	0.0268540691934014	48	45	0.0568181818181818	0.00746789972062305	0.213486059727039	0.319978935106409	1
L6ITCar32	0.0246696042348515	46	40	0.0504413619167718	0.0645564988969897	0.146441458897044	1	1
L6b1	0.0139260439049852	29	22	0.0745762711864407	0.00454674476758165	0.0862012197943882	0.218243748843919	1
L6b2	0.0221196819324308	42	33	0.0438829787234043	0.257689832924931	0.133201108421985	1	1
L6b3	0.0150434965745717	22	19	0.0550724637681159	0.101874048728007	0.671997629733127	1	1
Lamp51	0.0181470314671166	34	30	0.062111801242236	0.00744137058386998	0.180761215894217	0.319978935106409	1
Lamp52	0.0134602124478876	20	15	0.0506756756756757	0.1863723697148	0.639832226461351	1	1
Lamp5Lhx61	0.0257179544217307	42	39	0.0604651162790698	0.00528759245844903	0.437187521309262	0.243229253088655	1
MicroPVM1	0.00698562412134071	7	6	0.0810810810810811	0.178519660967081	0.923896898425557	1	1
OPC1	0.000758772168009183	2	2	0.2	0.110173441336373	0.337262324940066	1	1
OPC2	0.0038207560291099	9	5	0.104166666666667	0.0651318210012751	0.156591803292818	1	1
Oligo1	0.00760705273891166	10	9	0.0789473684210526	0.0439633221427603	0.760939892078285	1	1
Pax61	0.0124600085575367	26	22	0.0634005763688761	0.0224294494127855	0.0979102802132275	0.807460178860278	1
Pax62	0.00731526768419722	9	9	0.0633802816901408	0.123392306281225	0.815374596925082	1	1
Pvalb1	0.0171240295493546	34	31	0.071264367816092	0.000972348632853884	0.108998482448714	0.050562128908402	1
Pvalb2	0.0163967851694764	27	23	0.0508849557522124	0.131298524221284	0.44206452989743	1	1
Pvalb3	0.0226667414214673	39	34	0.0488505747126437	0.085446275318532	0.318652503705279	1	1
Pvalb4	0.0206557770002314	37	31	0.054006968641115	0.0426949368960172	0.243550074289078	1	1
Sncg1	0.00890095039821388	16	13	0.087248322147651	0.00721688563383223	0.33740660539705	0.317542967888618	1
Sncg2	0.0134353932689164	24	18	0.0647482014388489	0.0331082897575842	0.301490640746921	1	1
Sncg3	0.0110656034923743	19	16	0.0597014925373134	0.0619596457489621	0.390312292712193	1	1
Sst1	0.0243193089280037	41	34	0.0598591549295775	0.00799362218168907	0.360253817574091	0.327738509449252	1
Sst2	0.0191695194828389	35	32	0.0650406504065041	0.00328243085343406	0.217274775555016	0.160839111818269	1
Sst3	0.0191405523640689	39	35	0.0708502024291498	0.000569595917617045	0.0694519106564558	0.0313277754689375	1
Sst4	0.0154413066247573	35	31	0.0776942355889724	0.000280631578699014	0.0244868097802037	0.0157153684071448	1
Sst5	0.0127778548156052	16	16	0.043010752688172	0.405054807272238	0.85528649970799	1	1
Sst6	0.0076576116774379	2	2	0.0123456790123457	0.989274700023237	0.999930421240796	1	1
Sst7	0.014894492638989	28	23	0.0699088145896656	0.00543342394058481	0.202660936873303	0.244504077326316	1
Sst8	0.0207702966808093	32	28	0.0492957746478873	0.127474765614061	0.582790867006378	1	1
Sst9	0.0193022225001248	36	31	0.0651260504201681	0.00496313567399955	0.179642236735452	0.233267376677979	1
SstChodl1	0.0173206339163963	25	21	0.0833333333333333	0.00196027685119204	0.703403265064551	0.099974119410794	1
VLMC1	0.00431758935782676	5	5	0.106382978723404	0.0778134985770826	0.811145760254573	1	1
Vip1	0.017977074292301	19	19	0.0425055928411633	0.388165784412383	0.975698935661324	1	1
Vip2	0.0230457467827212	32	26	0.048689138576779	0.144440707120514	0.79364749119491	1	1
Vip3	0.0158913882424548	26	21	0.0469798657718121	0.246568782760851	0.457038822882276	1	1
Vip4	0.0147750266229423	26	23	0.0651558073654391	0.0132184149907871	0.318065337649924	0.50229976964991	1
Vip5	0.0172339025762	27	22	0.0506912442396313	0.120883942685808	0.545216745664314	1	1
Vip6	0.0124331602929201	19	15	0.0721153846153846	0.0247925844590967	0.590044304072569	0.867740456068385	1
Vip7	0.0128048359194786	24	16	0.0445682451253482	0.357716388964436	0.22791637946902	1	1
Vip8	0.0128877858746174	14	12	0.0315789473684211	0.830076642354287	0.944536676798201	1	1
