genes	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	DEG	HARs.Intron	HARs.Flanking	HARs.FlankingandIntron	HARs.Intron.Simp	HARs.Flanking.Simp	HARs.FlankingandIntron.Simp	hCONDELs.Intron	hCONDELs.Flanking	hCONDELs.FlankingandIntron	hCONDELs.Intron.Simp	hCONDELs.Flanking.Simp	hCONDELs.FlankingandIntron.Simp	HARorhCONDEL	HARandhCONDEL
ABI1	63.3821790504091	0.97169382752905	0.216921819378273	4.4794655987768	7.48301485556321e-06	0.00115295118282155	TRUE	NA	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE
ABI2	82.9414545616038	-1.05720093102066	0.240250805012588	-4.40040536374171	1.08048842918452e-05	0.00150770543808637	TRUE	NA	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE
ALDH1A1	103.841054406269	-4.3155838740279	0.920856872360397	-4.68648712254916	2.77934298520709e-06	0.000576798751358589	TRUE	NA	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE
ALG12	5.14751726196937	2.52427750320988	0.620733389519025	4.06660499633476	4.77029978942054e-05	0.00424774774068212	TRUE	NA	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE
ARHGAP24	137.677834237432	3.48831776867904	0.914421277724907	3.81478193219434	0.000136303243750694	0.00955908748759181	TRUE	NA	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE
ARRB1	80.5068299593911	-2.01160985820223	0.446851195771644	-4.50174437762997	6.73980120797512e-06	0.00107089122631092	TRUE	NA	NA	NA	FALSE	FALSE	FALSE	NA	391	391	FALSE	TRUE	TRUE	TRUE	FALSE
ASH1L	105.97643333967	-1.14968296206489	0.194850529890815	-5.90033274586994	3.62769201793986e-09	2.63500000931646e-06	TRUE	NA	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE
ATP10B	69.9048008775092	-1.77771676599605	0.43940474456982	-4.04573866797101	5.21583943673473e-05	0.00453332232753465	TRUE	NA	HARsv2_2367	HARsv2_2367	FALSE	TRUE	TRUE	NA	NA	NA	FALSE	FALSE	FALSE	TRUE	FALSE
ATP8B1	3.70078360416184	2.41804329675793	0.584602504912146	4.13621781713254	3.53077063314366e-05	0.00345001987231429	TRUE	NA	NA	NA	FALSE	FALSE	FALSE	828	NA	828	TRUE	FALSE	TRUE	TRUE	FALSE
BAIAP2L1	2.22141722342501	2.96062944493486	0.774952612954303	3.82040062249515	0.000133235081413043	0.00953831700511143	TRUE	NA	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE
CAT	7.12535554101224	2.9306333362437	0.54283074095907	5.39879766401195	6.70889845165356e-08	2.7289115341946e-05	TRUE	NA	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE
CCPG1	9.4676940244751	-5.38547230536669	1.22396120537212	-4.40003513324539	1.08233353309376e-05	0.00150770543808637	TRUE	NA	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE
CCSER1	80.6145555114017	-2.96732480075988	0.729236432995868	-4.06908468433131	4.71981914330952e-05	0.00424741954586854	TRUE	HARsv2_2093	NA	HARsv2_2093	TRUE	FALSE	TRUE	1014	NA	1014	TRUE	FALSE	TRUE	TRUE	TRUE
CST3	86.2495242106008	2.4899115783963	0.544288046317088	4.5746210949225	4.77082606481794e-06	0.000808575504218893	TRUE	NA	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE
CTNNA3	89.2418483575174	-4.4001746714251	0.81041374116527	-5.42954104541493	5.64991582775242e-08	2.44854653768066e-05	TRUE	HARsv2_0265,HARsv2_0266	NA	HARsv2_0265,HARsv2_0266	TRUE	FALSE	TRUE	355,356	NA	355,356	TRUE	FALSE	TRUE	TRUE	TRUE
CTNND1	14.6198257837051	-6.01214748226962	1.13183505711252	-5.3118583352662	1.08512946158932e-07	4.24410826726992e-05	TRUE	NA	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE
CTSH	4.38189970526353	2.65752511184817	0.67475020913574	3.93853173495431	8.1981752180743e-05	0.00661644792004742	TRUE	NA	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE
