genes	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	DEG	HARs.Intron	HARs.Flanking	HARs.FlankingandIntron	HARs.Intron.Simp	HARs.Flanking.Simp	HARs.FlankingandIntron.Simp	hCONDELs.Intron	hCONDELs.Flanking	hCONDELs.FlankingandIntron	hCONDELs.Intron.Simp	hCONDELs.Flanking.Simp	hCONDELs.FlankingandIntron.Simp	HARorhCONDEL	HARandhCONDEL
ADGRL3	448.214929915736	-0.600316828354907	0.12444287415128	-4.8240353853056	1.40682442129752e-06	0.000493244875362748	TRUE	HARsv2_2069,HARsv2_2070	NA	HARsv2_2069,HARsv2_2070	TRUE	FALSE	TRUE	1007	1006	1006,1007	TRUE	TRUE	TRUE	TRUE	TRUE
ASIC2	99.0048583857495	-1.02618342031806	0.244969202384078	-4.18903033659368	2.80148950996907e-05	0.00564780285209765	TRUE	HARsv2_1102	NA	HARsv2_1102	TRUE	FALSE	TRUE	802,803	NA	802,803	TRUE	FALSE	TRUE	TRUE	TRUE
ATP8A2	83.7573918708823	-2.28078674738813	0.495595398710854	-4.60211445328373	4.18223260506473e-06	0.00116294909404283	TRUE	NA	NA	NA	FALSE	FALSE	FALSE	425	NA	425	TRUE	FALSE	TRUE	TRUE	FALSE
BCHE	23.6821656128793	1.90934254693049	0.354044215016386	5.392949428201	6.93104645463019e-08	3.82118997341613e-05	TRUE	NA	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE
CACNB2	65.3716719192172	-1.25232847320309	0.28060408634139	-4.46297304337714	8.08302251421208e-06	0.00210262882434214	TRUE	NA	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE
CCSER1	188.068853605355	-1.46859705807755	0.338552529744655	-4.33787057856341	1.43869826773153e-05	0.00322268411971862	TRUE	HARsv2_2093	NA	HARsv2_2093	TRUE	FALSE	TRUE	1014	NA	1014	TRUE	FALSE	TRUE	TRUE	TRUE
CLDN10	2.1193171594907	3.64644993439075	0.770347808860566	4.73351113931806	2.20668846961273e-06	0.000684412916113734	TRUE	NA	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE
CNTN5	28.8186963771214	2.25796948991657	0.410722288927143	5.4975577191456	3.85087289841187e-08	2.8230399138903e-05	TRUE	NA	HARsv2_0420	HARsv2_0420	FALSE	TRUE	TRUE	NA	NA	NA	FALSE	FALSE	FALSE	TRUE	FALSE
COL4A2	13.6045153865404	-4.24953399582767	0.747676127339452	-5.68365611852462	1.31845255690486e-08	1.26956749150176e-05	TRUE	NA	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE
CPNE5	4.45917474982564	2.8386363529148	0.569159911625601	4.98741442419452	6.11927099594993e-07	0.000246729006556701	TRUE	NA	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE
CTNND1	8.92420367097874	-4.42483660328381	0.929664935668708	-4.75960363085118	1.93973511485793e-06	0.000625680958648573	TRUE	NA	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE
DENND2A	79.1607494106131	-2.03698930346618	0.444847891409453	-4.57906925671199	4.67049546829265e-06	0.00125542918187706	TRUE	NA	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE
DNAH11	5.13626040327588	3.44880769906425	0.531520132430916	6.48857397609959	8.66526077183359e-11	6.98766628640661e-07	TRUE	HARsv2_2613	NA	HARsv2_2613	TRUE	FALSE	TRUE	NA	NA	NA	FALSE	FALSE	FALSE	TRUE	FALSE
EEF1A1	7.90614470097766	2.73917219101725	0.667201188028514	4.1054665971311	4.03499589302328e-05	0.0077471921146047	TRUE	NA	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE
FAM117B	14.1122116684914	-1.73894607677115	0.4008372262859	-4.33828487659188	1.43598946872434e-05	0.00322268411971862	TRUE	NA	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE
GALNT13	138.625635840257	0.946689709898111	0.175689574696326	5.38842279932908	7.10786825412227e-08	3.82118997341613e-05	TRUE	HARsv2_1493	NA	HARsv2_1493	TRUE	FALSE	TRUE	NA	NA	NA	FALSE	FALSE	FALSE	TRUE	FALSE
GALR1	2.64938546619528	6.29336517575703	1.08727252045542	5.78821321918536	7.11390754284481e-09	9.56109173758342e-06	TRUE	NA	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE
KIRREL3	27.2607596559781	-2.10491821865254	0.521966056316091	-4.0326726099941	5.51460817659121e-05	0.00966734789913728	TRUE	HARsv2_0455	NA	HARsv2_0455	TRUE	FALSE	TRUE	682	NA	682	TRUE	FALSE	TRUE	TRUE	TRUE
KLHL1	9.15038759753987	4.33452534240543	0.729599942850776	5.94096173509701	2.83354755945999e-09	5.71243187987134e-06	TRUE	NA	NA	NA	FALSE	FALSE	FALSE	NA	431	431	FALSE	TRUE	TRUE	TRUE	FALSE
KLHL23	30.5266308638191	-6.14833357640612	1.00524157657713	-6.11627465443812	9.57881778738294e-10	2.57478622124853e-06	TRUE	NA	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE
