genes	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	DEG	HARs.Intron	HARs.Flanking	HARs.FlankingandIntron	HARs.Intron.Simp	HARs.Flanking.Simp	HARs.FlankingandIntron.Simp	hCONDELs.Intron	hCONDELs.Flanking	hCONDELs.FlankingandIntron	hCONDELs.Intron.Simp	hCONDELs.Flanking.Simp	hCONDELs.FlankingandIntron.Simp	HARorhCONDEL	HARandhCONDEL
A2ML1	3.54845178681242	2.53265834974246	0.576119150573333	4.39606693723347	1.10229954212517e-05	0.000782495743288729	TRUE	NA	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE
ABCA5	77.0197320664159	0.69214842343684	0.158091002973621	4.37816454078877	1.19682981145559e-05	0.000829004116068239	TRUE	NA	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE
ABCB8	17.2884929319954	1.47661456841134	0.281638277747007	5.24294701779764	1.58031929061356e-07	2.34564534706784e-05	TRUE	NA	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE
ACMSD	2.91910642647787	4.48559296997307	0.836826669292177	5.36024141506767	8.31108119741347e-08	1.41772159709311e-05	TRUE	NA	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE
ACO1	33.0661049569811	-2.09442807613697	0.332178992415111	-6.30511899897523	2.87972556829057e-10	9.1423287555536e-08	TRUE	NA	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE
ACP1	12.5447544947551	1.44681562050164	0.388035469839203	3.72856538372945	0.000192572947106874	0.00703168119004621	TRUE	NA	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE
ADAM9	33.1089326899009	0.688882376897163	0.160178779087945	4.30070937498491	1.70252224356764e-05	0.0010931531866143	TRUE	NA	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE
ADGRL3	583.823339917783	-0.906952768748315	0.165808367095566	-5.46988541432036	4.50326627646204e-08	8.72336106333637e-06	TRUE	HARsv2_2069,HARsv2_2070	NA	HARsv2_2069,HARsv2_2070	TRUE	FALSE	TRUE	1007	1006	1006,1007	TRUE	TRUE	TRUE	TRUE	TRUE
ADRA1B	5.39119900177422	2.40290483048341	0.631831674446103	3.80307750887913	0.000142909618488895	0.00565160563913352	TRUE	NA	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE
AGAP1	161.814498413806	-0.784394807134446	0.194740555899789	-4.02789651857667	5.62781022744276e-05	0.00279653230823667	TRUE	HARsv2_1617	NA	HARsv2_1617	TRUE	FALSE	TRUE	97	NA	97	TRUE	FALSE	TRUE	TRUE	TRUE
AHCY	4.77282698197348	2.62390126001853	0.420769250800468	6.23596247831047	4.49008724101914e-10	1.38695154263805e-07	TRUE	NA	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE
ALG12	13.5331448371717	2.20921165789551	0.56232914160557	3.92868072173485	8.54131502621116e-05	0.0037740316138027	TRUE	NA	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE
ALMS1	49.6151440801872	-0.832728793251992	0.218845675467292	-3.80509594934376	0.000141749231619254	0.00562518044505713	TRUE	NA	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE
AMH	3.64094275694174	2.74190278566867	0.567016589593977	4.83566589759228	1.32700646876399e-06	0.000147246183801006	TRUE	NA	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE
AMPH	96.6067794411435	0.907335895257474	0.122513763162434	7.40599155422633	1.30174118548814e-13	9.29850000558997e-11	TRUE	NA	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE
ANKAR	20.4023810610566	2.18499631378937	0.549748094027938	3.97454095343954	7.0515128439382e-05	0.00326282349365869	TRUE	NA	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE
ANKRD23	11.6672095573737	-3.06668822957494	0.639577859891327	-4.79486302120591	1.62786024818038e-06	0.000172266803485681	TRUE	NA	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE
ANKRD6	44.1760578059045	1.21208731650871	0.335351334366763	3.61438047890125	0.000301066662486223	0.00991611206211827	TRUE	NA	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE
ANKRD7	21.4410050404249	-4.48638212969286	0.973625955971631	-4.60791138750576	4.0673392105338e-06	0.000365537756250433	TRUE	NA	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE
ANKUB1	5.3858118971809	-4.85563534439799	1.29371091956779	-3.75326146742286	0.000174548623439335	0.0065622243989742	TRUE	NA	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE
AP1S3	3.67239606368239	2.11440604369632	0.512247557441253	4.12770351557765	3.66404107654734e-05	0.00207308541900295	TRUE	NA	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE
AP3S2	17.2103728774523	-6.50943287521435	1.33199924892686	-4.88696437363515	1.02402615233207e-06	0.000120655617474261	TRUE	NA	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE
APLF	7.55166954107641	-4.73971234037798	1.20337990487201	-3.93866668471756	8.19356627039605e-05	0.00367232427075908	TRUE	NA	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE
APOO	32.2805614004134	1.59437685630346	0.330152341089461	4.82921566160101	1.37071890869409e-06	0.000149199489594902	TRUE	NA	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE
ARHGAP26	268.984890746107	-0.690086992560113	0.184263869098869	-3.74510204271158	0.000180320469055776	0.00671297277146079	TRUE	HARsv2_2346	NA	HARsv2_2346	TRUE	FALSE	TRUE	NA	NA	NA	FALSE	FALSE	FALSE	TRUE	FALSE
ASIC2	816.71500415663	-0.887294836955097	0.219678389185856	-4.03906292395658	5.36651684193667e-05	0.00270396721388396	TRUE	HARsv2_1102	NA	HARsv2_1102	TRUE	FALSE	TRUE	802,803	NA	802,803	TRUE	FALSE	TRUE	TRUE	TRUE
ATG10	20.746816724996	1.17754845348944	0.302148958594466	3.89724478603915	9.72932657511067e-05	0.00419157518403864	TRUE	HARsv2_2271	NA	HARsv2_2271	TRUE	FALSE	TRUE	NA	NA	NA	FALSE	FALSE	FALSE	TRUE	FALSE
ATG4C	37.3141688580153	-0.775164013711027	0.210866121781683	-3.67609555845856	0.000236830841219422	0.00822717229269536	TRUE	NA	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE
ATRN	97.4222216350689	-0.573658570430273	0.154116677167364	-3.72223552294282	0.000197466699652799	0.00716459336613282	TRUE	NA	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE
AZIN2	12.9143409978497	1.32181047784093	0.321003527588119	4.11774439917354	3.825986949144e-05	0.00213870466708295	TRUE	NA	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE
BAIAP2L1	9.32405926284816	3.29389198289133	0.582278053277102	5.65690560438106	1.54126474105212e-08	3.38752206259321e-06	TRUE	NA	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE
BBIP1	19.1438707378237	1.39893148970257	0.218377283182921	6.40603028535147	1.49357308596523e-10	5.17274145439293e-08	TRUE	NA	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE
BBS4	29.8758216119792	-1.17122885362025	0.244050541816744	-4.79912416871304	1.593609768332e-06	0.000171824207945909	TRUE	NA	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE
BCAP29	34.0857533930461	1.06873190854104	0.223633049587865	4.77895333677476	1.76210080158084e-06	0.000184761927167591	TRUE	NA	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE
BCO2	9.88753270098844	1.99442163795221	0.443457978872947	4.497430947169	6.87794886312861e-06	0.000545889427477062	TRUE	NA	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE
CA1	4.78269753958863	4.89539390200986	0.772340308446131	6.33838975963703	2.32178875532705e-10	7.58163533846653e-08	TRUE	NA	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE
CA2	6.58372446316296	2.4009078580304	0.62800783055062	3.82305401498792	0.000131808890667942	0.0053419993313614	TRUE	NA	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE
CACNA1D	241.945473708787	-0.732879106236009	0.178566286116339	-4.10424118782717	4.05644101655965e-05	0.00223966494580967	TRUE	NA	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE
CACNA1E	280.233997743492	-0.868931634557802	0.190206600202847	-4.56835690050253	4.91562496825745e-06	0.000428860135589423	TRUE	NA	NA	NA	FALSE	FALSE	FALSE	28	NA	28	TRUE	FALSE	TRUE	TRUE	FALSE
CACNA2D1	71.4262441695697	-1.50610700069522	0.372651724006831	-4.04159407744377	5.30890742003928e-05	0.00270396721388396	TRUE	NA	NA	NA	FALSE	FALSE	FALSE	NA	265	265	FALSE	TRUE	TRUE	TRUE	FALSE
CAPRIN2	27.9193666920284	0.734586171298448	0.180734898497955	4.06444011313486	4.81478989126436e-05	0.00250128334851184	TRUE	NA	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE
CARM1	20.4796808138674	-1.10907903822583	0.297567277657777	-3.72715389593795	0.000193654221748722	0.00704864363173929	TRUE	NA	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE
CBLN2	5.59263760656132	-3.22188673770372	0.884686810867438	-3.64183878195793	0.000270697586786985	0.00909941976290722	TRUE	NA	HARsv2_1266	HARsv2_1266	FALSE	TRUE	TRUE	NA	NA	NA	FALSE	FALSE	FALSE	TRUE	FALSE
CCDC137	7.33402679006787	-1.98682152981437	0.509005101743623	-3.90334305689356	9.48730785904963e-05	0.00412557383858236	TRUE	NA	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE
CCPG1	27.6963011125717	-7.19991841993875	1.12003207297071	-6.42831450428207	1.29026575638463e-10	4.60826479053748e-08	TRUE	NA	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE
CD247	4.34218493905538	2.3209390102484	0.496836405750002	4.67143507075496	2.99102649218504e-06	0.000282516047761841	TRUE	NA	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE
CDC42BPB	51.051484669662	-0.711417940764436	0.173680083908975	-4.09614001071815	4.20095918709092e-05	0.00228456424106567	TRUE	NA	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE
CDCA7	7.64970913641252	1.84929787872546	0.481291340225979	3.84236682475352	0.000121853534869492	0.00499162741943881	TRUE	NA	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE
CENPT	3.10575111106351	2.92225243086909	0.755680647449681	3.86704680175587	0.000110161292526799	0.0045617152619159	TRUE	NA	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE
CENPW	5.0675169256507	4.20456777100461	0.834887167517926	5.03609102473638	4.75134684242133e-07	6.42298201878773e-05	TRUE	NA	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE
CEP164	46.9248532504798	-1.40832674363695	0.287093540218594	-4.90546301586807	9.32072028604925e-07	0.000112133170683428	TRUE	NA	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE
CFI	7.64792694295942	-4.76277295250684	1.23002004800422	-3.87211001986083	0.000107897225910381	0.00448420870883544	TRUE	NA	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE
CIB1	1.88542737899537	3.010224975969	0.761178451654728	3.954690216762	7.66338814218241e-05	0.00349205210898571	TRUE	NA	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE
CLCN6	21.4014019371285	-1.47090981108457	0.350854100693628	-4.19236887406083	2.76056647773714e-05	0.00166055338284515	TRUE	NA	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE
COL5A1	10.2357317081089	-4.29337315624522	0.986704960200808	-4.35122283703881	1.35380376100446e-05	0.000915539833403547	TRUE	NA	NA	NA	FALSE	FALSE	FALSE	NA	345	345	FALSE	TRUE	TRUE	TRUE	FALSE
CPLX3	10.9746539259047	6.91852057912688	0.633874744759724	10.9146493630211	9.81071420992392e-28	1.1212665270522e-23	TRUE	NA	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE
CRAMP1L	8.49347051364053	2.55411846780664	0.641161644964597	3.98357962904607	6.78849105848114e-05	0.00319282569166177	TRUE	NA	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE
CRBN	33.0805283009587	0.807754192555537	0.197746886359788	4.08478842537059	4.41169962610018e-05	0.00235613621620089	TRUE	NA	NA	NA	FALSE	FALSE	FALSE	NA	102	102	FALSE	TRUE	TRUE	TRUE	FALSE
CREG1	14.3085552434274	1.36045350976053	0.370976388057389	3.66722398933399	0.000245197995123684	0.0083903230127802	TRUE	NA	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE
CSAD	30.3109793890215	2.63123888731389	0.360094243203073	7.30708401197634	2.73001883282735e-13	1.83537560237552e-10	TRUE	NA	NA	NA	FALSE	FALSE	FALSE	701	NA	701	TRUE	FALSE	TRUE	TRUE	FALSE
CTNND1	17.0845522870701	-6.48709759263775	0.947455466393525	-6.84686280541584	7.54870470182075e-12	3.59475608487956e-09	TRUE	NA	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE
CUX1	97.4440653534376	-0.961966166851876	0.194102863216908	-4.95596072571526	7.19737546675731e-07	9.03942903401861e-05	TRUE	NA	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE
DDR2	66.4081743957351	5.06896630846685	0.794784406198341	6.37778782388676	1.79664183923077e-10	6.03935870016719e-08	TRUE	NA	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE
DDX5	95.8637850937234	0.675743387048793	0.184231980322013	3.66789406414503	0.000244556463219604	0.0083903230127802	TRUE	NA	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE
DGKH	72.6895469266787	0.987182717513425	0.192346616137844	5.13231133115419	2.86205566533545e-07	4.1405612910277e-05	TRUE	NA	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE
