genes	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	DEG	HARs.Intron	HARs.Flanking	HARs.FlankingandIntron	HARs.Intron.Simp	HARs.Flanking.Simp	HARs.FlankingandIntron.Simp	hCONDELs.Intron	hCONDELs.Flanking	hCONDELs.FlankingandIntron	hCONDELs.Intron.Simp	hCONDELs.Flanking.Simp	hCONDELs.FlankingandIntron.Simp	HARorhCONDEL	HARandhCONDEL
A2ML1	5.38161354736548	2.01488822240679	0.476146690134728	4.23165437070804	2.31978695407733e-05	0.00102511712231234	TRUE	NA	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE
AAMDC	23.0035769371643	-1.38681236897955	0.313315168150394	-4.42625352984465	9.5883823304777e-06	0.000475917042746701	TRUE	NA	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE
ABCA12	4.53675892780003	1.64371943615622	0.416635915602618	3.94521781392456	7.97274730709716e-05	0.00266111645489546	TRUE	NA	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE
ABCA5	118.11174052025	0.509091168939808	0.140129534604712	3.63300406567318	0.000280140602479284	0.0070035150619821	TRUE	NA	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE
ABCB6	2.8393627820964	3.66293069311831	0.843539892216012	4.34233250486311	1.40977955772912e-05	0.000662649192865187	TRUE	NA	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE
ABCB8	21.2609559437086	1.24096532386999	0.234555550506031	5.29070968984841	1.21842637959438e-07	1.2849790810008e-05	TRUE	NA	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE
ABCD4	28.3345075646537	1.15294851311942	0.245839964177835	4.68983355483	2.73427373947382e-06	0.000166578327332022	TRUE	NA	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE
ABO	26.8533605577549	-7.05597209930964	1.36302264031129	-5.17670938884637	2.25833570090344e-07	2.14712977623774e-05	TRUE	NA	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE
ABTB2	19.848299576957	-2.26139017056068	0.43429613382508	-5.2070234902701	1.91893809199181e-07	1.92661384435978e-05	TRUE	NA	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE
ACADM	41.9339686880645	1.02413848124448	0.201479313931045	5.08309494043139	3.71333973660567e-07	3.27311042999775e-05	TRUE	NA	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE
ACAP2	194.630610643041	-0.500047822325127	0.124299906006958	-4.02291392156915	5.7482509242671e-05	0.00203769069270588	TRUE	NA	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE
ACKR3	2.99965203343635	2.60964995223207	0.700658878772368	3.72456559289517	0.000195651837948972	0.00529187622038707	TRUE	NA	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE
ACMSD	3.40689920457523	2.76867245012017	0.707186199306102	3.91505441259575	9.03838220237158e-05	0.00294196531254943	TRUE	NA	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE
ACO2	80.1261558931703	-0.714864799474771	0.169547413050207	-4.216312042833	2.48330081432332e-05	0.00108213282013047	TRUE	NA	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE
ACTN4	40.415630509318	-0.943152612411227	0.185577061276023	-5.08226935983433	3.72952025091378e-07	3.27311042999775e-05	TRUE	NA	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE
ADGB	9.28746458491241	-4.92822442974956	1.25392100527037	-3.93025111552934	8.4857190512544e-05	0.00279516467436333	TRUE	NA	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE
AEBP2	218.121973334927	-1.969488948431	0.527541790791368	-3.73333256778872	0.000188962824202811	0.0051330810470677	TRUE	NA	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE
AFAP1L2	9.55508796422758	1.28370372684973	0.313180041241817	4.0989321086989	4.15060752453404e-05	0.00156897965159344	TRUE	NA	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE
AFF2	92.2307461182045	1.02847417855366	0.284708932354207	3.61237060618153	0.000303410514994079	0.00735096904087971	TRUE	HARsv2_3167	NA	HARsv2_3167	TRUE	FALSE	TRUE	NA	NA	NA	FALSE	FALSE	FALSE	TRUE	FALSE
AGAP2	34.2560914381178	-1.39913904874774	0.291064628122657	-4.80697038926396	1.53234676106892e-06	0.000103527896400604	TRUE	NA	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE
AGPAT5	33.6926561579541	0.59437186423028	0.157246817413064	3.77986578048797	0.000156912921547252	0.00446543574924719	TRUE	NA	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE
AKAP13	33.3275901175768	-1.71458247214161	0.417340978003111	-4.10834919768848	3.98497272668578e-05	0.00152940084770356	TRUE	NA	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE
ALCAM	108.86016412146	0.796957933346773	0.210648409513867	3.78335604425396	0.0001547278306196	0.00442331269766738	TRUE	NA	HARsv2_1897	HARsv2_1897	FALSE	TRUE	TRUE	NA	NA	NA	FALSE	FALSE	FALSE	TRUE	FALSE
AMH	3.82445877068687	2.28489721589269	0.534418871086601	4.27548003918152	1.90725889675615e-05	0.000869144971095073	TRUE	NA	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE
ANKAR	25.357673409966	1.64585712037802	0.43842828141059	3.75399396015848	0.000174039058584498	0.00485270693851214	TRUE	NA	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE
