genes	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	DEG	HARs.Intron	HARs.Flanking	HARs.FlankingandIntron	HARs.Intron.Simp	HARs.Flanking.Simp	HARs.FlankingandIntron.Simp	hCONDELs.Intron	hCONDELs.Flanking	hCONDELs.FlankingandIntron	hCONDELs.Intron.Simp	hCONDELs.Flanking.Simp	hCONDELs.FlankingandIntron.Simp	HARorhCONDEL	HARandhCONDEL
A1BG	1.24736274026193	4.42663523382511	0.909542587528281	4.86688066564829	1.13373438375415e-06	8.3339910344431e-05	TRUE	NA	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE
A2ML1	4.05705108289036	2.11670118193237	0.437459866188831	4.83861799797352	1.30745064490628e-06	9.3269685297241e-05	TRUE	NA	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE
AAMDC	15.9868098353012	-1.07089489915582	0.288814334453346	-3.70790079094501	0.000208984494615764	0.00539621167230382	TRUE	NA	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE
ABCA5	115.390375945963	0.819408935247974	0.134184958689848	6.10656323367759	1.01799315763119e-09	1.79376382569661e-07	TRUE	NA	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE
ABCB8	17.8872198744261	1.48896247751256	0.222513928685458	6.69154729462951	2.20823108713683e-11	5.87978330801633e-09	TRUE	NA	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE
ABO	33.9945876019781	-6.28492634888416	1.4611992665672	-4.30121099338447	1.6986721808664e-05	0.000798176081221224	TRUE	NA	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE
ABTB2	29.3083674750887	-2.62386336734366	0.513607924763152	-5.1086894123638	3.24401096162243e-07	2.8792399512711e-05	TRUE	NA	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE
ACADM	32.0495970450378	1.15606487672484	0.267218693427755	4.32628743855973	1.51643514518734e-05	0.000721010608106126	TRUE	NA	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE
ACAP2	127.412729783097	-0.636763964044938	0.138139115341882	-4.60958478320211	4.03473970818523e-06	0.000245402290271449	TRUE	NA	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE
ACO2	44.1278964832025	-0.973764888869657	0.177476067848932	-5.48673914557611	4.09421026985719e-08	4.85711162905236e-06	TRUE	NA	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE
ADCY2	396.014515643515	-0.574222300037865	0.132675080296507	-4.32803431326044	1.50446034988998e-05	0.000721010608106126	TRUE	NA	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE
AEBP2	157.258344810614	-1.96735264796074	0.536613862580605	-3.66623523011432	0.000246147520505318	0.00595826179938328	TRUE	NA	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE
AFAP1	121.677946827417	1.01797324777673	0.206296815397787	4.93450781493573	8.03531284736451e-07	6.2927528455635e-05	TRUE	NA	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE
AGAP2	26.1561283231733	-1.54409789773966	0.361289231985726	-4.27385529663576	1.92121746521991e-05	0.00086868028936849	TRUE	NA	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE
