genes	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	DEG	HARs.Intron	HARs.Flanking	HARs.FlankingandIntron	HARs.Intron.Simp	HARs.Flanking.Simp	HARs.FlankingandIntron.Simp	hCONDELs.Intron	hCONDELs.Flanking	hCONDELs.FlankingandIntron	hCONDELs.Intron.Simp	hCONDELs.Flanking.Simp	hCONDELs.FlankingandIntron.Simp	HARorhCONDEL	HARandhCONDEL
ABCB8	8.43671930008859	1.32123855330786	0.341579897880006	3.86802198111787	0.000109721776246139	0.00457564010279394	TRUE	NA	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE
ABO	12.363543465414	-5.89591074459952	1.35980932672941	-4.33583637698697	1.45206931255728e-05	0.000963205977329663	TRUE	NA	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE
ADAM11	12.1901433251431	-1.24185127970349	0.333061165848627	-3.72859824873098	0.00019254783849085	0.006787199256003	TRUE	NA	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE
ADAMTS9	4.690033693448	2.59599612881254	0.597446424372215	4.34515300939387	1.39178615374265e-05	0.000934143807213187	TRUE	HARsv2_1822,HARsv2_1823,HARsv2_1824	NA	HARsv2_1822,HARsv2_1823,HARsv2_1824	TRUE	FALSE	TRUE	NA	NA	NA	FALSE	FALSE	FALSE	TRUE	FALSE
ADCY2	126.093569351534	-1.60937947882809	0.294072881146288	-5.4727231989389	4.43172050706979e-08	7.08014164953417e-06	TRUE	NA	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE
AEBP2	63.5186148202356	-1.88154394048935	0.516896812019464	-3.64007650412536	0.000272557047354978	0.00883318453756433	TRUE	NA	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE
AGK	24.7326561315072	-0.883192484576266	0.230682452228134	-3.82860714391414	0.000128870526043908	0.00518361126565973	TRUE	NA	NA	NA	FALSE	FALSE	FALSE	NA	1160	1160	FALSE	TRUE	TRUE	TRUE	FALSE
AHCY	2.91310119965391	2.4388310235119	0.655091242507845	3.72288753880371	0.000196957265366919	0.00685302534066554	TRUE	NA	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE
ALDH2	10.2511653567295	1.31836753757162	0.297160548413066	4.4365496853877	9.14122433032111e-06	0.000656258908726787	TRUE	NA	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE
ALMS1	30.2945730731275	-0.829314401642561	0.207839779655075	-3.99016205184046	6.60281670766502e-05	0.00312951040627457	TRUE	NA	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE
ANKRD23	7.79936676013538	-3.59048990803335	0.823477287263991	-4.36015657452166	1.29969412368203e-05	0.000877525621721742	TRUE	NA	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE
ANKRD7	9.25419144726857	-4.87229968089534	1.21574352999544	-4.00767066464552	6.1320547888562e-05	0.00299604297698551	TRUE	NA	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE
AP3S2	8.89568706572903	-5.98002028824016	1.53699187549878	-3.89072992744321	9.99431228458435e-05	0.00426186030992633	TRUE	NA	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE
APOO	19.81719887639	1.96431166025738	0.387400500306301	5.07049334914201	3.96785782723138e-07	5.11447856071426e-05	TRUE	NA	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE
ARAP2	10.077514213644	-2.83461643898309	0.697627837017315	-4.06322151808391	4.84000575275901e-05	0.002553496988537	TRUE	HARsv2_2039	HARsv2_2036,HARsv2_2037,HARsv2_2038	HARsv2_2036,HARsv2_2037,HARsv2_2038,HARsv2_2039	TRUE	TRUE	TRUE	NA	NA	NA	FALSE	FALSE	FALSE	TRUE	FALSE
