genes	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
A1BG	0.874123442042571	2.98349858721808	0.912298814450797	3.27030852168118	0.00107430245136049	0.0241303221896674
A1CF	0.186721558202974	-0.38517104013778	2.18051971911913	-0.176641851371735	0.859789718320024	NA
A2ML1	1.46490369273841	1.3136283452895	0.693221525796832	1.89496185044101	0.0580974560066293	0.257220703935674
A3GALT2	0.975951746265414	0.0633903021815162	0.933035297531239	0.0679398757466556	0.945833495813596	0.978371730701168
A4GALT	0.226466787316832	-1.27269793578529	2.56803268521545	-0.495592576804963	0.620181891177112	NA
A4GNT	0.0832094856652598	0.241442234494865	3.57863076841434	0.0674677691327865	0.946209320047565	NA
AAAS	2.56470580744461	0.169552715208289	0.637616103773289	0.265916613782036	0.790303429670703	0.908616643295639
AACS	14.9179817935258	0.564405188787821	0.336784759855881	1.67586321016825	0.0937649893700436	0.324686415210573
AADAC	0.0710738687081117	-0.518086315780371	3.5956394143704	-0.144087394778736	0.885431458361623	NA
AADACL2	0.0473825791387412	-0.348360180554159	3.5956394143704	-0.096884069954817	0.922818459622508	NA
AADACL3	0	NA	NA	NA	NA	NA
AADACL4	0	NA	NA	NA	NA	NA
AADAT	9.7802732133565	-0.704308635382309	0.408827029477909	-1.72275457491581	0.0849329165065376	0.307597085547144
AAGAB	11.6673698121155	0.228707036286656	0.269646377487287	0.848173961830579	0.396341095993038	0.664581142385811
AAK1	163.59154071656	-0.428260792074156	0.114877113004866	-3.72799055331427	0.000193012611136333	0.006787199256003
AAMDC	7.29954436944198	-0.981950744509081	0.458917512658236	-2.13971077028903	0.0323781481095105	0.191735424858952
AAMP	5.86116936379029	0.757433752671612	0.366971227570477	2.06401400373043	0.0390163886597435	0.21034358201876
AANAT	0.333729704447248	0.998516192422014	1.69273576226518	0.589883084342605	0.555269035553435	NA
AAR2	4.37789143002081	0.223054863408124	0.426120769821031	0.52345456782547	0.600657959178251	0.804969663393065
AARD	0.361160028496724	1.60131606412084	2.28395093710619	0.701116665032105	0.48323021097645	NA
AARS2	4.30710652707367	-0.540315655507022	0.468539107202139	-1.15319222494253	0.248831494098792	0.530225065771778
AASDH	14.1201195374463	0.0277803669502407	0.29249052351071	0.0949786906488388	0.924331752790597	0.968742037503811
AASDHPPT	18.6591862046121	-0.0106336916261248	0.465342104482828	-0.0228513421065624	0.981768853621682	0.990546949894235
AASS	1.7469506774753	-1.97694101010244	1.0819159314783	-1.82725935775915	0.0676607828867717	0.278653247072577
AATF	11.7558462129096	0.117818764498393	0.256924306192177	0.458573835401409	0.646540229265758	0.829792466684939
AATK	23.2597992102472	0.393508569745028	0.308006308797755	1.27759905724339	0.201390833160721	0.477803016218796
ABAT	51.0006039552381	0.319637271102661	0.745321470797037	0.428858262678043	0.668026375701193	0.843805325929451
ABCA1	16.3202528718205	0.477275605791446	0.577036398076206	0.827115251971358	0.408171740239485	0.672363062668672
ABCA12	1.03947934484135	0.1615663925415	0.817151991147087	0.197718899656231	0.843265001835087	0.933641280216241
ABCA13	2.67973823338266	-4.21624708613895	1.65280009624186	-2.55097219302314	0.0107422896224526	0.10414512067306
ABCA2	12.6712809647685	-0.252815658333929	0.321163873109921	-0.787185855886725	0.4311730758159	0.692388516028629
ABCA3	32.1564283271062	0.122654458878316	0.713668807453898	0.171864676720146	0.863543917219092	0.943658829770344
ABCA4	0.505410627565727	-0.624420211225959	1.16808300960596	-0.53456835352532	0.59294837177981	NA
ABCA5	62.0065569990616	0.186214788523403	0.155660290947855	1.1962896085411	0.231583562484597	0.512356611910042
ABCA6	18.2565363494834	-0.313024245445507	0.506944900098924	-0.617471929167103	0.536923490978633	0.765019866621107
ABCB1	9.69242630352756	-0.764008665982956	1.104586841972	-0.691669171632521	0.489145111272683	0.729700539009732
ABCB10	18.2007299244729	0.0457455117008522	0.480619122301495	0.095180382090906	0.924171552058968	0.968742037503811
ABCB11	0.0747122482720913	-0.518086315780371	3.5956394143704	-0.144087394778736	0.885431458361623	NA
ABCB5	4.50507275081696	0.424661456708433	0.783451457317644	0.542039270898003	0.587791452833576	0.797907904438877
ABCB6	1.42450364930385	2.4254065684037	1.29461497230502	1.87345783904024	0.0610051894947947	0.264316984125079
ABCB7	12.0339442199997	0.0893950527096963	0.280473680038787	0.318728847203537	0.749932137730457	0.889050538376111
ABCB8	8.43671930008859	1.32123855330786	0.341579897880006	3.86802198111787	0.000109721776246139	0.00457564010279394
ABCB9	21.494582439667	-0.212756802553286	0.251913491596577	-0.844562953753989	0.398354900432514	0.665665827284326
ABCC10	8.76732838187809	-0.709425570958461	0.472267841203655	-1.50216785701599	0.13305376375285	0.38998161298413
ABCC11	0.177021989866993	0.225456254928235	2.57811778483455	0.0874499436195089	0.93031387213282	NA
ABCC12	0.22150379831965	-0.43192032215271	1.80381112360793	-0.239448751867543	0.810757630723237	NA
ABCC2	1.76678563049803	-3.15444677554453	1.54314529635324	-2.04416705478033	0.0409370466319467	0.215190712805214
ABCC3	0.759663056948604	-1.13962550447306	1.26449044998196	-0.901252757179239	0.367453946147247	0.641552819925738
ABCC4	10.0787202927786	0.0439630479960147	0.376147032756504	0.116877295758103	0.906957290185112	0.962459831606344
ABCC5	52.1312014282682	-0.226132275582622	0.16181588201803	-1.39746650799967	0.162273331371922	0.429042245395883
ABCC8	36.6192341398828	-0.470095462585454	0.226782203416156	-2.07289397273739	0.0381821480896562	0.209126077151603
ABCD1	0.385595263988937	-1.82591836522341	1.7868018083306	-1.02189193939162	0.306832047935558	NA
ABCD2	13.1808526051737	0.56275182167824	0.250745396432132	2.24431566714948	0.0248120982188259	0.164407887414038
ABCD3	17.861517937121	-0.0791866379623706	0.286444462620097	-0.276446740279261	0.782204961289128	0.90443943689119
ABCD4	13.6258826018912	0.839017973082574	0.260285718815858	3.22344989536728	0.00126656454270863	0.0269542994520524
ABCE1	14.0401615268803	-0.013208512648866	0.270956658931956	-0.0487476952990589	0.961120365679742	0.985178773532018
ABCF3	1.8050793593418	1.85234744821217	0.802218883653253	2.30902997418448	0.0209419179984357	0.149681270230785
ABCG2	3.87646703955209	-2.36881740140037	1.16818482160715	-2.02777621964086	0.0425830924635016	0.218580202683212
ABCG4	3.15168610375536	0.42754250835535	0.459556226524841	0.930337755596135	0.352196235249684	0.627774079140371
ABCG5	3.2803231788766	-0.0821384975954248	0.915705984747074	-0.0896996404562237	0.92852590166607	0.971521935485493
